quest_id	english_title	reason
24426	Call to Arms: Alterac Valley	Call to Arms: Alterac Valley -- unreachable. Checked src/server/game/Battlegrounds/Battleground.cpp's hardcoded "Call to Arms!" achievement-granting code (Battleground.cpp:928-953) -- it only references 8 specific quest IDs (11335/11339 AB, 11336/11340 AV, 11337/11341 EY, 11338/11342 WG), one pair per battleground. 24426 is not among them; it's a leftover/unused duplicate ID from this 32-quest QuestLevel=-1 family, not part of the functional mechanism.
24427	Call to Arms: Alterac Valley	Call to Arms: Alterac Valley -- same as 24426, not among the 8 quest IDs actually referenced by the hardcoded Call to Arms achievement system in Battleground.cpp.
24661	REUSE ME	REUSE ME -- QuestLevel=-1 internal-duplicate-stub signature, template for the 'Crushing the Crown' city-variant quests
24746	REUSE	English title marker: REUSE
24797	REUSE	English title marker: REUSE
24857	Attack on Camp Narache	Attack on Camp Narache -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 781
24875	Deprogramming	Deprogramming -- unreachable, Wowhead confirms deprecated, duplicate concept of already-translated 24869
25092	Elemental Research	Elemental Research -- English source itself contains literal "[ph] log description" / "[ph] I'..." placeholder text (never finished by Blizzard); sibling 25055 has the same issue
9750	UNUSED Urgent Delivery	English title itself literally marked "UNUSED", Objectives/Details blank in English source -- confirmed unfinished/cut content
10452	DON'T USE [PH] Fel Orc 1	English title itself literally marked "DON'T USE", Objectives/Details are unfinished "[PH Fel Orc 1." placeholder text -- confirmed unfinished/cut content
10453	DON'T USE [PH] Fel Orc bread	English title itself literally marked "DON'T USE", Objectives/Details are unfinished "[PH Fel Orc bread" placeholder text -- confirmed unfinished/cut content
11493	UNUSED	English title itself literally marked "UNUSED" (no angle brackets, missed by the original <UNUSED> skip-list sweep), Details blank in English source, and wowhead's zhTW fetch returned garbage placeholder text ("一 任務") for Objectives -- confirmed unfinished/cut content, found batch 58
11402	Clayton's Quest: Extreme!	English title/turn-in text ("Return to Clayton's Test Creature.") confirm QA/dev test content; RequiredNpcOrGoCount is all-zero (no real kill requirement wired up); existing zhTW text also had a wrong count (12 vs the QuestDescription's 20, itself unenforced) and a garbled title mixing English/fullwidth punctuation/a stray "[日常]" tag -- confirmed unfinished/test content, found batch 58
11937	FLAG - all torch return quests are complete	English title itself literally an internal completion-tracking FLAG for the Midsummer torch-return questline, blank LogDescription/QuestDescription; existing zhTW Title also had the same wowhead site-meta-tagline-bleed bug already seen at 11552/11553 (巫妖王之怒 任務, "Wrath of the Lich King Quest") -- confirmed non-player-facing internal tracking content, found batch 60
10638	NOT A QUEST	English LogTitle is literally "NOT A QUEST"; Objectives is an untranslated raw-English template string ("Seek <NAME> in the <DISTRICT> of Silvermoon City.") with its angle brackets HTML-entity-escaped -- confirmed non-player-facing internal template content, found batch 64 while sweeping the corpus-wide &lt;name/class/race&gt; token-corruption bug
12693	Wolvar Faction Choice Tracker	English title itself an internal faction-choice-tracking quest (Sholazar Basin Wolvar-vs-Oracles), blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug as 11552/11553/11937 (巫妖王之怒 任務) -- confirmed non-player-facing internal tracking content, found batch 64
12694	Oracle Faction Choice Tracker	English title itself an internal faction-choice-tracking quest (Sholazar Basin Wolvar-vs-Oracles), blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug as 11552/11553/11937/12693 (巫妖王之怒 任務) -- confirmed non-player-facing internal tracking content, found batch 64
12825	Expressions of Gratitude	English LogDescription literally starts "[PLACEHOLDER] Use mini-plane to kamakazi on the gnoll leader." -- confirmed unfinished/cut content, found batch 65; existing zhTW Details already correctly translates the marker itself ("[佔位文字]"), left as-is
12834	Not Rain, Nor Snow, Nor Exploding Plane	English LogDescription literally starts "[PLACEHOLDER] Test cold-weather bomber on giant." -- confirmed unfinished/cut content, found batch 65; existing zhTW Details already correctly translates the marker itself ("[佔位文字]"), left as-is
12835	All Grown Up	English LogDescription literally starts "[PLACEHOLDER] Test Grown Up Jormungar on Giant" -- confirmed unfinished/cut content, found batch 65; existing zhTW Details already correctly translates the marker itself ("[佔位文字]"), left as-is
12837	Tore's Got the Goods	English LogDescription literally starts "[PLACEHOLDER] Report to Tore" -- confirmed unfinished/cut content, found batch 65; existing zhTW Details already correctly translates the marker itself ("[佔位文字]"), left as-is
13686	Alliance Tournament Eligibility Marker	English title itself an internal Argent Tournament eligibility-tracking quest, blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug as 11552/11553/11937/12693/12694 (巫妖王之怒 任務) -- confirmed non-player-facing internal tracking content, found batch 69
13687	Horde Tournament Eligibility Marker	English title itself an internal Argent Tournament eligibility-tracking quest, blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug -- confirmed non-player-facing internal tracking content, found batch 69
13700	Alliance Champion Marker	English title itself an internal Argent Tournament champion-status-tracking quest, blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug -- confirmed non-player-facing internal tracking content, found batch 69
13701	Horde Champion Marker	English title itself an internal Argent Tournament champion-status-tracking quest, blank LogDescription/QuestDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug -- confirmed non-player-facing internal tracking content, found batch 69
14200	Kickoff Mail Marker	English title itself an internal in-game-mail-kickoff tracking quest, blank LogDescription; existing zhTW Title had the same wowhead site-meta-tagline-bleed bug -- confirmed non-player-facing internal tracking content, found batch 72
